year,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,yield
1939,46.1,47,52.9,62.4,66,72.4,75.8,74.9,73.7,63.6,54.6,49.7,2.05,1.56,2.03,0.19,0.65,0,0,0,0.5,0.52,0.13,0.69,1043
1940,48.8,53.1,56.1,59.9,66.7,74.2,74.4,74,69.3,64.1,52.4,50.6,6.09,5.11,3.07,0.6,0.15,0,0,0,0.04,0.53,0.3,5.11,654
1941,49.5,53.5,56.3,57.2,65.8,70,76.7,72.1,69.1,61.6,54.6,49.5,3.26,3.43,2.22,2.61,0.38,0.01,0,0,0.01,0.68,1.02,4.09,300
1942,46.6,49.4,52.8,57.1,61.7,70.3,76,74,69.6,64.3,53.1,47.4,3.81,1.71,1.7,3.16,1.29,0,0,0,0.05,0.31,2.69,1.77,1264
1943,46.8,51.8,54.7,58.9,66.7,67.9,74.8,72.6,72.5,63,54.6,48.6,3.76,1.72,3.63,1.29,0.05,0.04,0,0,0,0.25,0.56,1.36,825
1944,47.4,49,53.9,55.9,65.4,68,73,73.7,73.1,64.9,51.6,48.1,2.18,4.45,0.72,1.37,0.46,0.14,0,0,0.04,1.11,3.14,1.99,637
1945,44.5,51.2,50,59,62.4,72.4,77.5,73.5,72,64.9,52.3,47.6,0.49,3.25,2.87,0.22,0.27,0.12,0.02,0,0.03,2.23,1.54,3.69,1440
1946,45.1,46.9,53.1,59.7,64.3,69.4,75.6,73.7,71,60.2,50.1,46.1,0.72,1.17,1.68,0.13,0.91,0,0.03,0,0.04,0.33,2.41,1.67,1146
1947,41.6,50.6,55.5,61.8,69,72.6,73.4,72.8,73.2,62.5,49.5,45.7,0.59,1.09,1.97,0.18,0.19,0.39,0,0,0,1.71,1.06,0.7,898
1948,48.4,47.6,50.9,56,61.5,70.2,74,72.8,70.3,62.1,51.6,43,0.4,1.11,2.93,2.25,1.83,0.04,0,0,0,0.72,0.31,2.57,1035
1949,38.5,46.4,53.3,61.5,64.4,72.6,73.8,71,70.8,61,55.9,43.7,1.19,1.56,3.87,0,0.3,0,0.01,0.04,0.07,0.07,0.91,1.34,1204
1950,42.4,49.8,52.1,60.4,65,68.9,76.3,75.5,70.6,63.4,57,50,4.16,1.5,1.46,0.72,0.22,0.02,0.01,0,0.31,1.6,4.01,3.83,876
1951,45.3,49.5,52.6,58.2,65.2,69.6,73.7,73.4,70.6,62.7,53.7,45,2.49,1.8,1.2,0.77,0.64,0,0,0.01,0.02,0.96,2.05,4.93,1259
1952,43.9,48.8,49.9,58.6,66.1,65.9,76.4,73.8,72.6,65.2,50.8,46.9,4.59,1.41,3.1,1.67,0.06,0.09,0.02,0,0.08,0,1.41,4.64,1150
1953,50.1,49.8,52.3,57.6,60.7,67.5,77.3,71.6,72.2,62.1,53.9,47.3,1.76,0.03,1.13,1.7,0.46,0.43,0,0.05,0,0.3,1.02,0.95,961
1954,46.2,48.5,50,61.4,65.7,69.7,77,70.8,68.7,62.2,51,43.5,1.77,1.54,2.72,1.29,0.34,0.31,0,0.02,0,0.01,1.98,3.22,956
1955,41,46.6,52.9,53.6,64.5,69,72.5,74.7,71.2,63.3,51.4,49.5,3.49,1.14,0.46,1.99,0.63,0,0,0,0.22,0.12,1.25,7.84,1183
1956,47.7,46.1,53,57.5,64.4,71.8,74.9,72.3,70.8,61.3,52.7,45.2,4.85,1.11,0.04,1.62,1.01,0,0,0,0.49,0.88,0.02,0.38,1453
1957,43.2,52,54.7,59.5,63.6,74.6,76.1,72.5,71.4,61,51.6,45.5,2.21,2.35,1.97,1.45,1.79,0.18,0,0,0.27,1.42,0.4,2.4,1064
1958,46.2,53.8,50.3,58.4,66.5,70,74.6,78.2,73.2,66.7,54.8,50.2,3.64,5.23,4.87,4.11,0.78,0.27,0.01,0.02,0.11,0.08,0.1,0.67,813
1959,48.7,49.1,57.1,63.4,64.2,73.3,78,74.6,69.5,66.1,53.9,46.7,3.25,3.66,0.32,0.81,0.02,0,0,0.03,1.26,0,0,0.83,2515
1960,45.7,50.5,56.4,59.2,64.4,76.5,78.5,75.1,71.7,63,52.1,44.4,2.61,2.94,1.06,0.97,0.27,0,0.01,0,0.04,0.05,2.81,0.75,1712
1961,41.6,52,53.4,59.7,61.7,75,78.8,76.7,70,64,51.5,44.3,2.49,0.82,1.77,0.73,0.48,0.02,0.01,0.08,0.23,0.06,2.18,1.1,1668
1962,41.3,47.6,51,61.8,63,71.7,75.2,74.5,70.1,61.7,54.6,45.5,0.99,6.03,1.37,0.25,0.14,0,0.02,0.02,0.01,2.29,0.43,1.71,1720
1963,40.8,56.2,51.8,53.6,63.3,70.1,73.3,74.2,72.9,63.9,51.1,40.4,2.14,3.19,2.66,3.32,0.53,0.08,0,0,0.25,1.37,3.1,0.19,1695
